"Cluster","Total_Points","Centroid_Lat","Centroid_Lng","Avg_Severity","Avg_Rank","Pct_Traffic_Signal","Pct_Junction","Pct_Crossing","Pct_Station","Peak_Hour","Weekend_Prop"
119,185,28.5192978230408,-81.3885598908585,2,1,100,0,100,0,11,0
415,184,28.488605884402,-81.4138452614188,2,1,0,0,0,0,21,0
266,183,28.5236140108197,-81.3967962024044,2,1,0,0,100,0,14,0
296,183,28.5134296835285,-81.4046501478585,2,1,100,0,100,0,15,0
78,180,28.5304268553569,-81.3792244441901,2,1,0,0,100,0,8,0
70,179,28.5346067194432,-81.3739680886183,2,1,100,0,100,0,12,0
165,179,28.513076204589,-81.3979729564034,2,1,100,0,100,0,15,0
117,178,28.5506209101834,-81.4095653997905,2,1,0,0,100,0,8,0
557,178,28.4662364894204,-81.4259900705253,2,1,0,0,100,0,16,100
25,176,28.5156542157568,-81.3948264007034,2,1,100,0,100,0,12,100
40,176,28.5228363415758,-81.3874875865818,2,1,100,0,100,0,14,0
187,176,28.5202611818182,-81.3752482954545,2,1,0,0,100,0,13,0
289,176,28.5081473761972,-81.3835603682872,2,1,100,0,100,0,12,0
455,176,28.5144531306818,-81.3751752727273,2,1,0,0,100,0,13,0
177,175,28.5285204420733,-81.4139149035303,2,1,0,0,0,0,4,0
473,175,28.5413359371429,-81.3660806228571,2,1,0,0,100,0,13,100
59,172,28.5258802209302,-81.3927165581395,2,1,0,0,100,0,7,0
239,170,28.5154931176471,-81.3772927647059,2,1,0,0,100,0,13,0
225,168,28.5343518449574,-81.377647147077,2,1,100,0,100,0,10,0
315,168,28.4831906204237,-81.4249601741082,2,1,0,0,0,0,21,0
422,167,28.4650303650431,-81.4205848371996,2,1,0,0,100,0,14,100
124,166,28.515631761689,-81.3861400674225,2,1,0,0,100,0,7,0
125,166,28.5222298279197,-81.4004256106883,2,1,100,0,100,0,10,0
331,166,28.5077108077596,-81.3838328002782,2,1,100,0,100,0,11,0
144,162,28.5203657829154,-81.3936278678675,2,1,100,0,100,0,13,100
216,162,28.4952955956155,-81.4509057717176,2,1,0,0,0,0,11,0
129,161,28.5258557958697,-81.3793092866897,2,1,100,0,100,0,13,0
615,161,28.4955037952786,-81.4134080854068,2,1,0,0,0,0,23,100
245,159,28.5169274352201,-81.3769939001258,2,1,100,0,100,0,11,0
